County,Subcounty,PCN,pcn_location,supporting_partner,establishment_status,Proportion of functional Community Health Committees  in the PCN,Proportion of Health facilities that have received supportive supervision in the PCN,Functional PCN Management committee,Functionallity of MDTs ,Governance Score,Governance Weighted Score,POPULATION HEALTH NEEDS ,Number of population profiling assessments conducted,Proportion of population health needs that have been addressed ,Number of wellness activities conducted within the PCN ,Population Needs Score,Population Needs Weighted Score,CAPACITY READINESS ,1.HPTS ,Proportion  of  facilities in the PCN that had all 22  tracer pharmaceuticals  at the time of assessment ,Proportion of facilities in the PCN that have all 23 tracer non-pharmaceuticals at the time of assessment ,Availability of the whole blood and blood components in the hospitals ,Percentage of Health facilities with stock out on any of the 22 tracer pharmaceuticals for 7 consecutive days in a month*,Percentage of Health facilities with stock out on any of the 22 tracer non-pharmaceuticals for 7 consecutive days in a month*,Proportion of hospitals with comprehensive lab services within the PCN,Proportion of spokes with basic lab services within the PCN,2.EQUIPMENT,Proportion of Facilities within the PCN with all basic  tracer equipment available and functional **List provided below the  template,Capacity Readiness Score,Capacity Readiness Weighted Score,HEALTH CARE FINANCING ,Proportion of clients accessing Health Services using SHIF,Proportion of the target Health Facilities empanneled on SHA within the PCN,Proportion of Health Facilities in the PCN making SHA claims,Proportion of claims reimbursed to HFs within the PCN,Proportion of FIF collected rolled back to the facilities within PCN,Number of people waived for user fees in Hospitals within the PCN,Total amount of user fees  waived in Health care Facilities within the PCN,Healthcare Financing Score,Healthcare Financing Weighted Score,HEALTH INFRASTRUCTURE,Proportion of health facilities with accessible road network,Proportion of  facilities with the appropriate WASH facilities ***,Proportion of  facilities with the tracer list of infrastructure as per KEPH standards,Proportion of facilties with a reliable power source,PCN access to adequate ambulance services,Ambulance request Score,Health infrastructure Score,Health infrastructure Weighted Score,HMIS/ DIGITAL HEALTH,Proprtion of facilties with  reliable internet connection,Proportion of facilities in the PCN with the key OPD reporting tools (6),No of performance and data quality review meetings held quarterly within the PCN,Proportion of facilities with ICT infrastructure ,Proportion of facilities in a PCN with an integrated functional EMR,Proportion of CHUs within the PCN reporting monthly,HMIS Score,HMIS Weighted Score,HRH ,Core HRH density,Doctor to population ratio,Clinical officer to  population ratio,Nurse to population ratio,CHA/CHO  to population ratio,Proportion of CHPs trained on basic modules,Health care workers sensitized on PHC /PCN ,Does the PCN have a mechanism to enhance health workers skills?,Proportion of health workers who have undergone a skills/ competency buliding course within the last 2 years,HRH Score,HRH Weighted Score,SERVICE DELIVERY,SERVICE DELIVERY PROCESSES ,Number of outreaches conducted  by the MDT,Number of in-reaches conducted within the PCN,Service Delivery Score ,Service Delivery Weighted Score ,QUALITY OF CARE -MANAGEMENT SYSTEMS ,Proportion of hospitals with functional facility quality improvement teams (QIT),Proportion of spokes with functional facility work improvement teams (WIT),Average availability of selected IPC items  *(items defined below),QoC Management Systems Score,QUALITY OF CARE -PHC CORE SYSTEMS,Adherence to clinical guidelines for Primary health care facilities,Provider Availability (absenteeism) for Primary health care facilities,QoC PHC Core Systems Score,QUALITY OF CARE OUTCOMES ,Proportion of facilities conducting MPDSR,"Fresh Stillbirth rate per 1,000 births in health facilities","Number of maternal deaths reported in Health facilities per 100,000 live births",Proportion of maternal deaths Audited,"Number of neonatal deaths per 1,000 live births",Proportion of neonatal deaths audited ,TB Treatment Success Rate,QoC Outcomes Score,QoC Outcomes Weighted Score,SOCIAL ACCOUNTABILITY,Proportion of facilities which have conducted a client satisfaction survey,No. of MDT engagements with the community ,No. of health facilities with functional GRMs ,Social Accountability Score,Social Accountability Weighted Score,MULTISECTORAL PARTNERSHIPS AND COORDINATION,Proportion of multi-sectoral actions implemented,Number of inter- PCN peer to peer learning sessions held ,Multisectoral Partnerships and Coordination Score,Multisectoral Partnerships and Coordination Weighted Score,INNOVATIONS AND LEARNING ,Number of PHC related innovations/ best practice implemented/adapted,Innovations and Learning Score,Innovations and Learning Weighted Score,Total PCN Score (Total Weighted Score)
Laikipia,Laikipia East,Laikipia East PCN,"0.02,37.072",Tujenge Jamii (USAID),pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laikipia,Laikipia North,Laikipia North PCN,"0.251,36.884",Tujenge Jamii (USAID),pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamu ,Lamu East ,Lamu East  PCN,"2.0580,41.109",USAID Stawisha pwani,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamu ,Lamu West,Lamu West PCN,"2.3900,40.687",USAID Stawisha pwani,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamu ,Lamu Central,Lamu Central PCN,"2.2717,40.902",USAID Stawisha pwani,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machakos,Kangundo,Kangundo PCN,"1.3040,37.35",PATH,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machakos,Kathiani,Kathiani PCN,"1.3660,37.383",CIHEB,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machakos,Machakos Town,Machakos Town PCN,"1.5177,37.2634",RMNCAH Project,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machakos,Athi River,Athi River PCN,"1.4560,36.979",RMNCAH Project,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machakos,Masinga,Masinga PCN,"0.9320,37.416",RMNCAH Project,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machakos,Kalama,Kalama PCN,"1.4650,37.468",RMNCAH Project,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machakos,Yatta,Yatta PCN,"1.1670,37.539",No Supporting Partner,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machakos,Matungulu,Matungulu PCN,"1.2720,37.348",No Supporting Partner,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machakos,Mwala,Mwala PCN,"1.3890,37.458",RMNCAH Project,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makueni,Makueni,Makueni PCN,"1.8030,37.628",PATH & CIHEB,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makueni,Kilome,Kilome PCN,"2.2800,37.424",PATH & CIHEB,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makueni,Kibwezi East,Kibwezi East PCN,"2.4180,37.967","PATH & CIHEB, ThinkWell & JHPIEGO",pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makueni,Kibwezi West,Kibwezi West PCN,"2.2880,37.826",PATH & CIHEB,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandera,Mandera West,Mandera West PCN,"3.423,40.221","PATH & CIHEB, ThinkWell & JHPIEGO",pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandera,Banissa,Banissa PCN,"3.944,41.032",PATH & CIHEB,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandera,Kutulo,Kutulo PCN,"2.802,40.929",UNICEF (USAID),pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandera,Lafey,Lafey PCN,"3.15,41.182",RMNCAH Project,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandera,Arabia,Arabia PCN,"3.605,40.725",RMNCAH Project,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandera,Kiliwehiri,Kiliwehiri PCN,"3.937,41.228",RMNCAH Project,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandera,Mandera South,Mandera South PCN,"2.802,40.929",RMNCAH Project,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandera,Mandera East,Mandera East PCN,"3.938,41.856",RMNCAH Project,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandera,Mandera North,Mandera North PCN,"3.937,41.228",UNICEF (USAID),pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marsabit,Saku,Saku PCN,"2.334,37.99",UNICEF (USAID),pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marsabit,Moyale,Moyale PCN,"3.526,39.058",RMNCAH Project,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marsabit,North Horr,North Horr PCN,"3.374,37.878",WHO,awaiting_partner_support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marsabit,Laisamis,Laisamis PCN,"1.573,37.808",WHO,awaiting_partner_support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meru,Buuri East,Buuri East PCN,"0.073,37.241",No Supporting Partner,awaiting_partner_support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meru,Igembe North,Igembe North PCN,"0.235,37.94",Kenya Red Cross Society,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meru,Buuri West,Buuri West PCN,"0.1080,37.511",No Supporting Partner,awaiting_partner_support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meru,Igembe South,Igembe South PCN,"0.221,37.85",No Supporting Partner,awaiting_partner_support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meru,Igembe Central,Igembe Central PCN,"0.307,37.927",No Supporting Partner,awaiting_partner_support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meru,Imenti Central,Imenti Central PCN,"0.047,37.655",No Supporting Partner,awaiting_partner_support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meru,Imenti North,Imenti North PCN,"0.073,37.241",No Supporting Partner,awaiting_partner_support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meru,Imenti South,Imenti South PCN,"0.1310,37.502",Kenya Red Cross Society,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meru,Tigania East,Tigania East PCN,"0.282,37.745",No Supporting Partner,awaiting_partner_support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meru,Tigania central,Tigania central PCN,"0.32,37.693",No Supporting Partner,awaiting_partner_support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meru,Tigania West,Tigania West PCN,"0.31,37.64",Kenya Red Cross Society,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migori,Rongo,Rongo PCN,"-0.751,34.616",Lwala Community Alliance,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migori,Kuria East,Kuria East PCN,"-1.187,34.628",Lwala Community Alliance,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migori,Kuria West,Kuria West PCN,"-1.187,34.628",Lwala Community Alliance,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migori,Nyatike,Nyatike PCN,"-0.387,34.178",Lwala Community Alliance,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migori,Suna East,Suna East PCN,"-1.063,34.473",Lwala Community Alliance,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migori,Suna West,Suna West PCN,"-1.063,34.473",CDC,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migori,Uriri,Uriri PCN,"-0.75,34.43",Lwala Community Alliance,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migori,Awendo,Awendo PCN,"-0.899,34.559",Lwala Community Alliance,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mombasa,Changamwe,Changamwe PCN,"-4.03,39.62","USAID Stawisha Pwani, USAID Tujitegemee, BOMU & AHF",pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mombasa,Jomvu,Jomvu PCN,"-4.05,39.64",Kenya Red Cross Society,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mombasa,Kisauni,Kisauni PCN,"-3.99,39.65",Kenya Red Cross Society,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mombasa,Likoni,Likoni PCN,"-4.09,39.66","USAID Stawisha Pwani, USAID Tujitegemee, BOMU & AHF",pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mombasa,Mvita,Mvita PCN,"-4.0435,39.6682",Kenya Red Cross Society,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mombasa,Nyali,Nyali PCN,"-4.026,39.707",Kenya Red Cross Society,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murang'a,Kiharu,Kiharu PCN,"-0.721,37.152",AMREF,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murang'a,Gatanga,Gatanga PCN,"-0.874,36.915",AMREF,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murang'a,Kahuro,Kahuro PCN,"-0.678,36.98",AMREF,sub_county_not_gazetted_PCN_established,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murang'a,Kandara,Kandara PCN,"-0.93,37.05",AMREF,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murang'a,Mathioya,Mathioya PCN,"-0.73,36.89",AMREF,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murang'a,Kigumo,Kigumo PCN,"-0.755,36.95",AMREF,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murang'a,Kangema,Kangema PCN,"-0.678,36.98",AMREF,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murang'a,Ithanga,Ithanga PCN,"-0.964,37.094",AMREF,sub_county_not_gazetted_PCN_established,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murang'a,Murang'a South ,Murang'a South  PCN,"-0.678,36.98",AMREF,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nairobi,Makadara,Makadara PCN,"-1.296,36.885","UNICEF, CIHEB & ThinkWell",gazetted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nairobi,Dagoreti South,Dagoreti South PCN,"-1.276,36.706",No Supporting Partner,awaiting_partner_support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nairobi,Embakasi Central,Embakasi Central PCN,"-1.272,36.9",UNICEF,gazetted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nairobi,Embakasi North,Embakasi North PCN,"-1.256,36.873",UNICEF,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nairobi,Embakasi South,Embakasi South PCN,"-1.329,36.885",RMNCAH Project,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nairobi,Embakasi West,Embakasi West PCN,"-1.282,36.878",No Supporting Partner,awaiting_partner_support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nairobi,Kamukunji,Kamukunji PCN,"-1.284,36.841",No Supporting Partner,awaiting_partner_support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nairobi,Kasarani,Kasarani PCN,"-1.221,36.897",No Supporting Partner,awaiting_partner_support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nairobi,Kibra,Kibra PCN,"-1.313,36.787",UNICEF,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nairobi,Lang'ata,Lang'ata PCN,"-1.36,36.736",No Supporting Partner,awaiting_partner_support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nairobi,Mathare,Mathare PCN,"-1.256,36.854",UNICEF,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nairobi,Roysambu,Roysambu PCN,"-1.218,36.887",No Supporting Partner,awaiting_partner_support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
